symbol   z       mass coherent_scattering_length_real coherent_scattering_length_imag incoherent_scattering_length_real incoherent_scattering_length_imag coherent_cross_section incoherent_cross_section total_cross_section
Gd      64 157.250000                        6.500000                      -13.820000                          0.000000                          0.000000              29.300000               151.000000          180.000000
Tb      65 158.925340                        7.380000                        0.000000                         -0.170000                          0.000000               6.840000                 0.004000            6.840000
Dy      66 162.500000                       16.900000                       -0.276000                          0.000000                          0.000000              35.900000                54.400000           90.300000
Ho      67 164.930320                        8.010000                        0.000000                         -1.700000                          0.000000               8.060000                 0.360000            8.420000
Er      68 167.259000                        7.790000                        0.000000                          0.000000                          0.000000               7.630000                 1.100000            8.700000
Tm      69 168.934210                        7.070000                        0.000000                          0.900000                          0.000000               6.280000                 0.100000            6.380000
Yb      70 173.040000                       12.430000                        0.000000                          0.000000                          0.000000              19.420000                 4.000000           23.400000
Lu      71 174.967000                        7.210000                        0.000000                          0.000000                          0.000000               6.530000                 0.700000            7.200000
Hf      72 178.490000                        7.700000                        0.000000                          0.000000                          0.000000               7.600000                 2.600000           10.200000
Ta      73 180.947900                        6.910000                        0.000000                          0.000000                          0.000000               6.000000                 0.010000            6.010000
W       74 183.840000                        4.860000                        0.000000                          0.000000                          0.000000               2.970000                 1.630000            4.600000
Re      75 186.207000                        9.200000                        0.000000                          0.000000                          0.000000              10.600000                 0.900000           11.500000
Os      76 190.230000                       10.700000                        0.000000                          0.000000                          0.000000              14.400000                 0.300000           14.700000
Ir      77 192.217000                       10.600000                        0.000000                          0.000000                          0.000000              14.100000                 0.000000           14.000000
Pt      78 195.078000                        9.600000                        0.000000                          0.000000                          0.000000              11.580000                 0.130000           11.710000
Au      79 196.966550                        7.630000                        0.000000                         -1.840000                          0.000000               7.320000                 0.430000            7.750000
Hg      80 200.590000                       12.692000                        0.000000                          0.000000                          0.000000              20.240000                 6.600000           26.800000
Tl      81 204.383300                        8.776000                        0.000000                          0.000000                          0.000000               9.678000                 0.210000            9.890000
Pb      82 207.200000                        9.405000                        0.000000                          0.000000                          0.000000              11.115000                 0.003000           11.118000
Bi      83 208.980380                        8.532000                        0.000000                          0.000000                          0.000000               9.148000                 0.008400            9.156000
Po      84 209.000000                        0.000000                        0.000000                          0.259000                          0.000000               0.000000                 0.000000            0.000000
At      85 210.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
Rn      86 222.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000           12.600000
Fr      87 223.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
Ra      88 226.000000                       10.000000                        0.000000                          0.000000                          0.000000              13.000000                 0.000000           13.000000
Ac      89 227.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
Th      90 232.038100                       10.310000                        0.000000                          0.000000                          0.000000              13.360000                 0.000000           13.360000
Pa      91 231.035880                        9.100000                        0.000000                          0.000000                          0.000000              10.400000                 0.100000           10.500000
U       92 238.028910                        8.417000                        0.000000                          0.000000                          0.000000               8.903000                 0.005000            8.908000
Np      93 237.000000                       10.550000                        0.000000                          0.000000                          0.000000              14.000000                 0.500000           14.500000
Pu      94 244.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
Am      95 243.000000                        8.300000                        0.000000                               nan                          0.000000               8.700000                 0.300000            9.000000
Cm      96 247.000000                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
