symbol,z_number,a_number,mass (amu),spin,abundance (%),half_life (year),coherent_scattering_length (fm),incoherent_scattering_length (fm),coherent_cross_section (barn),incoherent_cross_section (barn),scattering_cross_section (barn),absorption_cross_section (barn)
Xe,54,128,127.90353075341,0(+),1.91,,,,,,,<8.000000
Xe,54,129,128.90478085742,1/2(+),26.4,,,,,,,21.0
Xe,54,130,129.903509346,0(+),4.1,,,,,,,<26.000000
Xe,54,131,130.90508412808,3/2(+),21.2,,,,,,,85.0
Xe,54,132,131.90415508346,0(+),26.9,,,,,,,0.45
Xe,54,134,133.90539303,0(+),10.4,,,,,,,0.265
Xe,54,136,135.907214474,0(+),8.9,,,,,,,0.25
Cs,55,133,132.905451958,7/2(+),100.0,,(5.42+0j),(1.29+0j),3.69,0.21,3.9,29.0
Ba,56,,137.327,,,,(5.07+0j),,3.23,0.15,3.38,1.1
Ba,56,130,129.906326002,0(+),0.11,,(-3.6+0j),,1.6,,1.6,30.0
Ba,56,132,131.905061231,0(+),0.1,,(7.8+0j),,7.6,,7.6,7.0
Ba,56,134,133.904508249,0(+),2.42,,(5.7+0j),,4.08,,4.08,2.0
Ba,56,135,134.905688447,3/2(+),6.59,,(4.67+0j),,2.74,0.5,3.2,5.8
Ba,56,136,135.9045758,0(+),7.85,,(4.91+0j),,3.03,,3.03,0.68
Ba,56,137,136.905827207,3/2(+),11.23,,(6.83+0j),,5.86,0.5,6.4,3.6
Ba,56,138,137.905247059,0(+),71.7,,(4.84+0j),,2.94,,2.94,0.27
La,57,,138.90547,,,,(8.24+0j),,8.53,1.13,9.66,8.97
La,57,138,137.907124041,5(+),0.09,,(8+0j),,8.0,0.5,8.5,57.0
La,57,139,138.906362927,7/2(+),99.91,,(8.24+0j),(3+0j),8.53,1.13,9.66,8.93
Ce,58,,140.116,,,,(4.84+0j),,2.94,,2.94,0.63
Ce,58,136,135.907129256,0(+),0.19,,(5.8+0j),,4.23,,4.23,7.3
Ce,58,138,137.90599418,0(+),0.25,,(6.7+0j),,5.64,,5.64,1.1
Ce,58,140,139.905448433,0(+),88.48,,(4.84+0j),,2.94,,2.94,0.57
Ce,58,142,141.909250208,0(+),11.08,,(4.75+0j),,2.84,,2.84,0.95
Pr,59,141,140.907659604,5/2(+),100.0,,(4.58+0j),(-0.35+0j),2.64,0.015,2.66,11.5
Nd,60,,144.242,,,,(7.69+0j),,7.43,9.2,16.6,50.5
Nd,60,142,141.907728824,0(+),27.16,,(7.7+0j),,7.5,,7.5,18.7
Nd,60,143,142.909819815,7/2(-),12.18,,(14+0j),(±21.000000+0.000000j),25.0,55.0,80.0,334.0
Nd,60,144,143.910092798,0(+),23.8,,(2.8+0j),,1.0,,1.0,3.6
Nd,60,145,144.912579151,7/2(-),8.29,,(14+0j),,25.0,5.0,30.0,42.0
Nd,60,146,145.913122459,0(+),17.19,,(8.7+0j),,9.5,,9.5,1.4
Nd,60,148,147.916899027,0(+),5.75,,(5.7+0j),,4.1,,4.1,2.5
Nd,60,150,149.920901322,0(+),5.63,,(5.3+0j),,3.5,,3.5,1.2
Pm,61,147,146.915144944,7/2(+),,2.62,(12.6+0j),(±3.200000+0.000000j),20.0,1.3,21.3,168.4
Sm,62,,150.36,,,,(0.8-1.65j),,0.422,39.0,39.0,5922.0
Sm,62,144,143.912006285,0(+),3.1,,(-3+0j),,1.0,,1.0,0.7
Sm,62,147,146.914904401,7/2(-),15.1,,(14+0j),(±11.000000+0.000000j),25.0,14.0,39.0,57.0
Sm,62,148,147.914829233,0(+),11.3,,(-3+0j),,1.0,,1.0,2.4
Sm,62,149,148.917191211,7/2(-),13.9,,(-19.2-11.7j),(±31.400000-10.300000j),63.5,137.0,200.0,42080.0
